type,priority,storyPoints,complexityScore,riskLevel,hasBlockingDependencies,dependenciesCount,memberLevel,memberAvgCompletionHours,memberAvgDelayHours,memberCompletedTasksCount,memberAvgReopenRate,memberCurrentWorkload,memberAvgWorkLogHours,memberAvgStoryPoints,actualHours
Improvement,High,8,1,3,0,0,Expert,13.89,0.6,91,0.442,7,34.46,7.4,13.0
Improvement,Medium,3,3,4,0,0,Senior,22.6,3.3,39,0.224,14,20.9,9.82,32.03
Bug,Low,13,5,2,0,0,Senior,26.74,1.45,70,0.348,4,26.74,8.39,58.05
Feature,Medium,13,2,4,0,1,Expert,21.52,3.01,82,0.233,4,26.44,1.6,29.46
Feature,Critical,2,4,5,0,0,Junior,28.18,3.4,53,0.429,12,14.45,9.04,37.18
Spike,High,2,1,5,1,0,Senior,20.44,0.59,85,0.497,2,2.65,9.62,22.9
Feature,High,8,4,3,0,0,Senior,22.13,5.86,81,0.122,8,26.18,7.36,54.26
Technical Debt,Low,3,2,1,1,0,Expert,37.75,1.52,14,0.237,8,5.62,6.55,17.86
Bug,Medium,1,3,1,0,3,Expert,16.79,5.07,96,0.041,11,10.88,6.42,3.86
Bug,Low,3,5,5,1,4,Junior,30.72,2.05,50,0.07,13,11.73,8.38,37.27
Improvement,High,5,1,5,0,2,Junior,14.72,0.85,68,0.465,11,12.87,5.98,22.54
Bug,Critical,8,5,2,1,4,Junior,14.61,1.59,39,0.272,1,16.83,4.0,52.14
Technical Debt,Critical,2,5,5,1,0,Junior,37.21,1.84,68,0.198,7,18.05,9.73,54.3
Spike,Medium,2,5,5,0,2,Senior,28.55,0.34,42,0.336,0,17.44,1.44,29.72
Bug,Medium,13,5,2,1,0,Senior,37.3,2.47,63,0.28,4,6.54,6.99,131.11
Feature,Critical,8,2,4,0,1,Senior,39.79,0.32,6,0.144,14,23.06,6.27,77.26
Bug,High,5,5,4,0,0,Senior,2.01,1.22,1,0.113,6,27.87,6.75,8.96
Spike,Low,8,5,2,0,2,Junior,39.36,2.54,29,0.295,7,16.7,6.78,115.8
Feature,Medium,3,2,2,0,0,Senior,5.83,0.81,74,0.094,7,29.5,2.11,8.11
Bug,Medium,8,4,4,0,0,Expert,4.68,0.23,51,0.07,5,16.1,2.2,8.15
Bug,Medium,3,2,4,0,2,Senior,31.18,2.07,32,0.159,6,20.32,1.61,15.4
Improvement,Medium,2,3,4,0,1,Junior,15.31,0.1,8,0.431,3,3.36,9.45,18.19
Feature,High,5,2,4,1,1,Junior,36.88,3.01,10,0.018,12,5.99,6.49,68.26
Improvement,Medium,3,4,3,0,1,Junior,22.69,2.36,75,0.417,9,27.09,1.69,37.53
Spike,Medium,21,3,2,1,0,Senior,16.67,3.1,9,0.31,6,9.47,4.9,53.76
Feature,Medium,3,3,1,0,1,Junior,4.79,3.08,53,0.02,6,4.19,4.23,9.78
Feature,High,13,1,3,0,0,Expert,19.66,0.25,74,0.301,8,20.32,2.33,16.98
Spike,High,13,5,1,0,2,Expert,12.56,5.0,96,0.213,10,4.21,8.4,33.54
Feature,Medium,2,3,1,0,1,Senior,4.91,0.52,19,0.421,14,24.26,7.98,10.31
Technical Debt,Critical,8,3,5,0,3,Junior,27.47,1.71,4,0.454,1,24.43,5.18,70.46
Bug,Critical,3,4,2,0,0,Senior,39.14,0.64,23,0.143,10,16.4,5.7,26.46
Feature,Medium,13,3,3,0,0,Expert,16.4,1.16,31,0.392,7,24.32,4.93,25.35
Technical Debt,Low,3,4,2,0,0,Junior,13.3,4.72,30,0.155,8,28.18,5.96,34.12
Bug,High,5,5,4,0,0,Expert,5.42,1.4,43,0.148,2,7.72,7.59,9.18
Bug,High,3,1,2,1,0,Senior,10.48,1.05,77,0.096,7,23.08,8.88,12.94
Feature,Critical,2,1,1,0,2,Junior,12.83,0.34,18,0.339,0,24.54,6.33,11.05
Bug,High,2,5,4,0,0,Senior,15.08,0.12,23,0.131,12,7.61,2.13,17.7
Feature,High,3,5,2,1,1,Junior,26.09,0.75,95,0.232,9,25.71,7.95,53.29
Feature,Medium,8,2,2,0,0,Senior,6.37,0.94,11,0.406,14,25.46,4.35,9.65
Spike,Low,5,3,1,0,0,Senior,4.22,1.31,49,0.396,4,6.35,6.67,6.72
Feature,Medium,5,3,4,0,1,Junior,37.36,1.89,84,0.428,0,11.79,2.79,39.53
Improvement,Medium,3,3,1,0,2,Junior,32.37,2.33,99,0.081,0,33.0,2.47,15.98
Feature,High,3,4,2,0,0,Junior,12.57,3.16,24,0.293,12,3.42,1.47,43.64
Improvement,High,1,2,3,0,0,Senior,26.27,0.86,50,0.457,5,8.78,3.83,7.76
Feature,High,8,3,3,0,0,Junior,24.51,4.01,13,0.021,4,20.68,6.37,46.25
Spike,Medium,21,4,5,0,2,Senior,30.23,2.92,71,0.397,4,33.94,3.87,92.8
Bug,High,3,4,3,0,1,Junior,34.65,0.12,28,0.123,1,9.74,3.17,20.3
Feature,Low,1,1,4,0,3,Junior,15.59,2.31,24,0.335,9,28.77,9.95,4.19
Feature,Medium,2,4,5,0,0,Junior,27.11,3.23,86,0.359,13,13.49,9.99,32.12
Feature,High,5,5,4,1,3,Junior,32.48,1.41,58,0.463,8,12.98,6.44,111.05
Bug,High,5,4,3,0,2,Junior,28.57,3.6,99,0.254,11,34.87,3.91,59.19
Feature,Critical,8,5,3,0,2,Expert,37.04,1.85,56,0.424,4,28.79,8.75,65.93
Technical Debt,Medium,3,5,2,0,0,Senior,20.8,2.72,11,0.023,2,9.45,7.63,35.14
Bug,Medium,8,1,4,0,1,Expert,32.5,6.17,49,0.21,10,7.31,6.54,31.72
Feature,Medium,5,1,1,1,1,Junior,36.57,0.89,11,0.22,6,3.86,9.17,30.8
Bug,Medium,3,4,2,0,1,Expert,23.17,4.82,81,0.269,5,17.41,5.01,15.21
Improvement,High,5,1,4,0,0,Senior,2.66,3.74,99,0.241,14,12.37,3.3,7.37
Feature,High,2,1,5,1,1,Senior,33.08,1.1,47,0.484,10,13.95,9.7,19.1
Feature,High,3,3,4,0,4,Junior,34.15,0.8,49,0.039,5,15.67,8.74,29.64
Feature,Medium,8,4,5,1,1,Junior,17.19,2.92,18,0.133,4,34.7,9.21,69.68
Improvement,High,3,4,5,0,1,Expert,10.7,2.52,52,0.484,3,1.1,9.26,22.76
Improvement,Low,8,4,3,0,1,Senior,39.17,3.55,34,0.223,5,15.49,4.44,49.07
Bug,High,5,1,1,0,1,Senior,22.96,4.21,26,0.286,6,3.21,8.75,23.23
Technical Debt,Medium,2,1,4,1,0,Junior,21.61,3.43,66,0.041,14,23.88,9.0,18.84
Technical Debt,Medium,5,5,1,1,0,Junior,37.95,0.64,76,0.142,11,2.71,5.93,79.62
Bug,Medium,5,2,5,0,2,Expert,17.51,2.45,50,0.02,13,27.07,6.63,23.61
Technical Debt,Critical,3,2,3,0,0,Senior,34.23,3.95,18,0.069,13,30.5,6.2,32.7
Feature,Low,2,2,1,0,2,Senior,28.62,3.42,42,0.317,7,34.01,1.14,8.26
Feature,Medium,3,3,2,0,2,Junior,38.77,6.19,34,0.382,14,5.11,5.82,30.7
Feature,High,1,1,5,0,1,Senior,18.29,2.55,14,0.435,1,34.28,1.34,5.09
Feature,Medium,1,5,2,1,3,Junior,36.49,0.79,15,0.126,3,15.02,5.06,12.49
Bug,Medium,3,5,1,1,0,Junior,23.62,1.54,98,0.166,10,22.51,1.41,32.13
Spike,Medium,3,2,1,0,0,Senior,20.08,1.6,68,0.285,6,1.0,5.1,20.09
Feature,Medium,13,3,1,0,0,Senior,13.62,4.67,70,0.042,2,13.59,3.74,19.38
Feature,Critical,3,3,4,0,3,Junior,23.0,1.51,84,0.403,4,13.0,7.97,40.48
Bug,High,8,2,5,0,4,Senior,23.76,2.6,40,0.242,9,18.13,5.31,46.24
Spike,Medium,5,2,5,1,0,Senior,36.14,2.39,53,0.483,13,5.51,5.61,83.46
Feature,Critical,5,1,5,0,0,Expert,28.75,3.38,64,0.059,6,24.47,9.13,21.98
Bug,Medium,3,3,4,0,0,Junior,33.41,0.7,88,0.067,8,21.25,5.34,19.76
Feature,Low,13,5,1,0,1,Junior,31.23,1.91,29,0.174,5,8.22,2.41,80.39
Feature,Medium,5,2,1,0,1,Expert,12.51,6.0,18,0.103,1,34.44,2.01,12.16
Spike,Medium,8,1,2,0,1,Senior,9.82,0.9,87,0.348,8,1.19,3.75,11.01
Spike,Medium,3,5,4,1,2,Senior,11.82,4.07,45,0.473,5,12.42,3.39,45.05
Feature,Critical,2,3,3,0,1,Junior,7.57,2.98,59,0.045,9,9.9,8.37,19.78
Spike,High,5,2,4,1,0,Expert,16.67,2.65,78,0.121,11,20.04,7.83,27.97
Bug,Medium,1,2,2,0,0,Senior,26.85,2.95,98,0.119,1,31.21,1.53,3.87
Technical Debt,High,3,1,2,1,2,Senior,22.41,0.84,23,0.255,12,23.36,2.81,25.81
Bug,High,2,1,2,1,1,Expert,27.81,4.76,35,0.226,0,2.62,5.04,6.92
Bug,Critical,5,3,1,1,0,Senior,15.53,1.22,48,0.363,14,30.36,1.78,44.05
Bug,High,21,2,3,1,0,Junior,9.8,5.56,58,0.366,14,10.01,2.5,51.07
Improvement,Medium,3,1,2,0,2,Senior,9.7,6.1,13,0.286,11,4.75,9.18,14.68
Feature,High,8,2,5,0,0,Senior,24.83,4.83,85,0.296,3,15.71,5.87,42.78
Feature,High,5,3,1,0,1,Senior,8.24,0.53,38,0.421,14,31.56,8.17,15.52
Feature,High,3,2,3,0,1,Senior,17.09,2.36,7,0.198,1,2.18,3.97,16.38
Improvement,Low,13,5,5,1,0,Junior,10.09,4.81,47,0.006,11,22.27,4.37,50.0
Feature,Low,8,2,3,0,1,Expert,27.18,0.95,79,0.107,6,12.3,8.73,21.9
Improvement,Medium,8,4,3,1,0,Senior,25.39,1.6,80,0.018,10,22.17,6.91,64.55
Spike,Medium,3,4,5,1,0,Junior,16.48,4.45,68,0.197,6,10.06,7.11,78.83
Feature,Low,5,3,4,1,0,Senior,6.89,2.37,40,0.179,2,33.88,6.75,15.15
Improvement,High,2,3,3,0,1,Expert,10.05,2.77,34,0.049,10,4.87,5.87,13.91
Bug,Low,3,3,4,1,2,Junior,19.94,0.48,63,0.378,9,6.37,9.92,23.85
Technical Debt,High,3,5,3,0,0,Junior,38.94,3.38,52,0.277,0,2.55,9.05,52.71
Feature,Medium,8,5,5,0,2,Junior,12.29,2.16,53,0.113,1,28.03,7.4,37.91
Improvement,Critical,8,2,3,0,0,Junior,9.27,3.64,36,0.38,12,4.19,7.1,21.1
Technical Debt,Medium,3,1,2,0,1,Junior,10.39,0.28,51,0.334,7,10.41,1.76,11.51
Spike,Low,1,4,2,0,1,Expert,28.91,1.13,17,0.096,3,7.99,5.37,5.55
Improvement,High,8,4,3,0,1,Junior,36.76,1.0,20,0.491,2,13.02,5.46,88.94
Bug,High,2,4,5,1,0,Expert,4.86,0.74,41,0.089,9,27.04,1.47,12.07
Bug,Critical,5,2,5,0,0,Junior,30.47,0.89,64,0.386,6,33.31,7.8,44.7
Technical Debt,Medium,1,2,1,0,0,Expert,20.8,1.1,80,0.484,9,30.88,1.02,6.44
Bug,Medium,3,3,5,0,0,Junior,33.36,2.9,7,0.363,3,29.6,4.83,21.86
Feature,Critical,21,1,4,0,2,Senior,18.02,6.86,92,0.333,1,15.19,9.13,25.58
Spike,Medium,2,3,3,0,0,Junior,2.2,3.38,83,0.452,2,28.26,4.06,5.36
Improvement,High,3,2,2,0,0,Junior,27.95,3.1,38,0.135,14,27.42,6.24,23.85
Improvement,Medium,3,5,5,1,0,Junior,32.7,3.03,60,0.139,3,9.42,3.77,43.26
Feature,Low,13,3,2,0,1,Senior,36.28,1.74,59,0.321,0,9.92,2.61,57.31
Improvement,Medium,8,2,1,0,2,Junior,23.62,3.08,68,0.441,7,17.97,7.57,49.02
Feature,Medium,2,2,3,0,0,Expert,6.64,4.41,58,0.309,10,33.76,2.84,8.9
Improvement,High,1,5,5,1,0,Junior,16.05,2.12,9,0.489,7,4.67,1.65,22.88
Feature,Critical,5,5,2,0,2,Junior,31.8,3.2,62,0.111,4,34.61,4.92,71.84
Improvement,Medium,3,5,5,0,0,Junior,20.79,3.44,69,0.413,14,6.4,7.38,62.87
Spike,High,5,1,1,0,1,Senior,28.57,2.95,6,0.464,12,17.51,6.22,40.5
Feature,Low,1,2,2,0,2,Junior,2.18,2.74,34,0.214,13,11.34,3.2,4.2
Spike,Medium,2,5,2,0,0,Junior,4.77,0.93,90,0.481,5,15.27,8.36,13.47
Bug,Low,5,1,3,0,0,Senior,27.88,4.53,41,0.101,3,33.57,1.87,13.4
Technical Debt,Critical,2,4,3,0,0,Junior,13.03,2.11,84,0.476,10,22.48,7.03,41.58
Improvement,High,8,4,2,0,2,Senior,16.75,1.95,87,0.451,13,11.12,6.46,47.94
Bug,High,1,4,3,0,1,Junior,26.4,0.59,28,0.033,2,22.37,9.09,7.51
Improvement,High,2,2,2,0,0,Senior,6.26,2.31,26,0.261,2,16.37,5.74,7.09
Technical Debt,High,21,1,4,1,0,Expert,33.64,1.19,37,0.264,14,33.07,8.37,41.83
Bug,Critical,3,1,5,0,1,Junior,7.49,3.17,1,0.028,12,13.0,2.94,11.19
Feature,High,5,4,4,0,0,Junior,29.86,2.65,24,0.02,3,20.87,5.91,58.05
Improvement,Critical,2,3,4,0,0,Expert,13.12,7.8,65,0.003,12,29.88,5.79,22.79
Technical Debt,Medium,5,4,5,0,1,Senior,11.88,1.18,37,0.262,14,33.6,3.66,35.56
Improvement,Low,5,2,2,0,1,Senior,33.21,6.92,58,0.232,5,28.17,1.05,22.08
Improvement,Medium,3,4,2,0,0,Senior,22.98,0.36,81,0.47,1,32.81,7.7,22.26
Bug,Low,8,4,3,0,0,Junior,9.81,1.32,6,0.171,5,16.77,4.57,25.19
Technical Debt,High,5,1,1,1,2,Expert,2.1,7.7,48,0.329,7,26.99,3.7,7.9
Feature,Medium,3,4,2,0,0,Senior,38.98,0.21,67,0.004,8,4.22,2.75,22.2
Bug,High,5,5,5,0,1,Senior,18.39,6.96,40,0.332,12,21.19,8.67,81.62
Feature,Low,5,5,1,0,1,Expert,17.1,0.17,73,0.457,3,1.46,4.0,26.56
Feature,Medium,2,3,5,0,0,Senior,3.91,3.74,50,0.177,4,9.84,2.84,9.23
Feature,Medium,3,2,5,0,1,Senior,35.99,7.88,91,0.157,7,23.63,5.71,25.41
Feature,Critical,3,2,5,0,0,Expert,7.34,1.45,93,0.313,9,6.83,8.04,8.96
Improvement,Medium,3,1,1,0,1,Junior,14.75,0.03,23,0.164,1,7.8,6.42,10.68
Feature,Medium,8,2,4,1,1,Junior,18.0,3.15,35,0.201,9,3.1,9.64,56.58
Bug,High,3,3,5,1,2,Junior,32.78,1.97,79,0.137,1,26.41,9.61,31.99
Feature,High,13,5,3,0,1,Expert,15.66,4.78,96,0.172,8,16.23,9.12,32.24
Feature,Medium,3,1,2,0,0,Senior,22.2,0.92,9,0.34,10,31.19,6.09,14.18
Feature,Medium,3,5,2,0,0,Junior,18.29,3.63,20,0.461,5,13.32,7.91,35.34
Feature,Medium,8,3,2,0,0,Junior,13.85,0.71,26,0.292,9,15.8,3.6,27.39
Bug,Critical,5,1,1,0,3,Junior,37.96,0.31,54,0.005,8,17.83,6.18,19.56
Improvement,Low,5,4,3,0,3,Junior,32.28,6.36,84,0.132,12,30.27,1.6,60.03
Bug,Medium,1,2,3,0,0,Expert,8.63,1.05,90,0.476,9,10.93,3.37,4.19
Bug,Low,3,3,3,1,0,Senior,23.08,2.26,95,0.455,6,2.75,3.93,22.73
Feature,Medium,3,1,3,0,0,Expert,32.27,0.34,4,0.058,12,22.32,4.25,10.69
Technical Debt,High,21,5,3,0,3,Senior,24.03,2.27,98,0.454,4,29.07,2.45,78.2
Bug,Medium,3,1,4,0,0,Senior,20.76,2.99,85,0.482,11,19.91,1.75,14.61
Bug,Low,8,4,3,0,1,Senior,4.74,0.96,58,0.162,8,11.9,6.21,10.05
Feature,Medium,5,3,3,0,0,Expert,6.03,3.36,35,0.351,8,22.44,5.42,11.08
Feature,Low,3,1,1,0,0,Expert,11.32,5.24,73,0.28,1,34.69,6.26,6.01
Feature,Low,5,3,1,0,0,Expert,21.51,1.94,33,0.169,7,20.52,2.16,19.76
Feature,High,8,3,3,1,0,Senior,39.52,0.48,51,0.077,7,11.72,9.53,90.17
Bug,High,8,5,4,0,0,Junior,32.49,1.27,5,0.183,1,9.28,4.72,87.8
Bug,Critical,2,2,3,1,0,Senior,6.18,0.83,13,0.464,9,34.94,5.05,12.51
Bug,High,3,4,3,0,0,Junior,29.26,2.79,58,0.406,6,29.91,5.92,28.86
Improvement,High,3,1,3,0,0,Junior,32.8,4.96,56,0.165,0,10.5,7.21,18.63
Technical Debt,Low,1,2,5,0,2,Junior,17.74,4.42,36,0.274,4,9.92,4.46,7.35
Improvement,High,5,5,4,1,1,Junior,14.55,0.03,57,0.203,4,28.32,2.29,61.99
Spike,High,8,2,2,0,1,Senior,24.22,0.17,82,0.233,9,34.74,8.05,33.8
Feature,High,3,3,3,0,0,Junior,21.73,1.65,31,0.381,4,16.83,3.35,34.07
Feature,Medium,5,3,2,1,1,Senior,12.08,1.82,19,0.272,1,8.73,4.99,27.0
Feature,Medium,5,4,4,0,0,Junior,17.1,1.84,84,0.091,13,8.83,6.69,56.9
Bug,High,3,1,3,0,0,Senior,22.69,3.15,78,0.135,2,28.11,9.69,10.19
Technical Debt,High,2,1,2,0,0,Senior,24.04,1.87,80,0.284,12,21.57,1.3,12.87
Feature,Critical,5,5,2,0,0,Junior,22.21,1.67,60,0.346,5,22.55,5.67,68.97
Spike,Medium,8,4,4,0,0,Senior,34.15,1.17,56,0.254,0,7.61,9.43,62.18
Feature,Medium,5,1,3,1,0,Senior,3.21,1.44,51,0.31,13,5.44,3.3,7.29
Spike,Medium,1,3,5,0,0,Senior,14.65,1.08,87,0.395,11,1.36,2.01,12.22
Feature,High,2,4,4,0,0,Senior,30.49,5.14,84,0.273,5,32.12,6.37,25.06
Feature,Medium,1,2,5,0,1,Senior,26.77,0.95,47,0.489,13,13.07,2.37,7.9
Bug,Low,5,4,3,0,1,Junior,36.89,3.32,78,0.118,5,26.77,8.91,35.73
Feature,Critical,8,4,2,0,2,Senior,24.34,0.73,10,0.46,6,31.07,7.51,60.63
Feature,Low,2,1,4,0,0,Senior,26.25,0.41,29,0.124,8,21.35,2.09,7.23
Feature,High,8,5,4,0,0,Junior,28.79,5.07,59,0.266,8,15.42,6.2,126.06
Technical Debt,Medium,5,5,4,0,3,Senior,9.08,1.14,17,0.228,3,2.31,1.24,24.28
Bug,High,5,1,1,0,0,Senior,30.62,2.79,91,0.186,1,12.46,8.61,16.74
Feature,High,21,1,3,0,2,Junior,13.4,0.56,76,0.481,4,11.94,2.85,28.85
Bug,Critical,1,1,1,0,0,Senior,18.13,4.08,73,0.136,0,20.26,7.59,3.98
Improvement,Critical,13,5,4,0,0,Senior,2.53,4.97,46,0.337,12,26.98,1.96,60.29
Feature,Low,2,1,4,1,0,Junior,34.06,1.73,11,0.402,14,25.18,5.25,14.04
Bug,Low,3,2,5,0,2,Senior,38.23,0.76,49,0.099,11,30.58,9.36,14.27
Feature,Medium,8,2,1,0,0,Senior,4.29,0.37,39,0.487,13,2.59,1.67,10.03
Feature,High,13,3,2,1,0,Junior,26.14,3.77,89,0.273,11,21.57,3.66,99.26
Improvement,High,5,2,3,0,1,Expert,38.51,0.93,63,0.457,14,7.43,8.04,29.05
Feature,Medium,5,4,2,0,1,Expert,25.06,5.67,18,0.332,12,34.07,5.17,44.59
Bug,High,5,3,2,0,2,Expert,32.32,3.43,86,0.325,4,14.91,6.85,29.7
Improvement,Medium,8,2,3,0,0,Junior,6.49,1.32,99,0.173,14,22.21,8.31,11.51
Feature,High,2,4,4,1,1,Expert,11.3,0.0,26,0.385,11,12.95,8.06,27.09
Bug,Critical,8,2,5,0,0,Expert,15.14,0.16,51,0.015,9,8.49,4.56,15.88
Feature,Medium,3,4,4,0,0,Expert,39.28,5.24,79,0.278,12,24.39,4.88,32.52
Spike,Medium,3,1,4,0,1,Expert,31.71,2.53,6,0.016,14,32.93,6.14,16.4
Bug,Low,3,4,1,0,0,Junior,35.66,3.57,62,0.153,2,3.02,2.1,17.07
Technical Debt,High,5,1,2,0,1,Junior,20.51,0.89,76,0.048,13,29.06,8.83,22.77
Bug,Medium,13,4,2,0,3,Junior,29.24,3.87,54,0.456,6,12.61,1.84,82.35
Feature,Low,5,4,2,0,0,Senior,29.8,5.85,75,0.314,6,5.11,2.66,40.37
Bug,Medium,13,2,5,0,2,Expert,23.62,3.9,90,0.334,2,25.25,9.5,29.17
Spike,Medium,2,4,5,0,2,Senior,35.36,0.01,96,0.426,4,3.8,3.54,29.42
Bug,Medium,5,2,5,1,1,Senior,8.01,0.67,30,0.367,8,25.74,3.2,19.79
Technical Debt,High,8,4,3,0,2,Junior,4.19,5.54,10,0.062,3,15.82,4.83,28.66
Technical Debt,Low,5,5,5,0,0,Junior,13.55,2.24,16,0.309,1,6.6,7.52,45.02
Feature,High,5,3,1,0,2,Junior,5.35,1.98,65,0.489,2,6.34,4.3,11.33
Feature,High,5,2,1,0,0,Senior,4.29,4.85,66,0.107,10,26.44,8.87,6.13
Bug,Medium,8,2,4,0,2,Senior,17.93,3.67,97,0.31,0,29.16,2.34,23.72
Bug,Low,8,1,4,0,0,Expert,9.62,2.53,31,0.282,4,24.31,2.06,9.13
Technical Debt,High,2,5,4,0,2,Senior,32.03,1.15,23,0.196,8,25.51,1.7,37.89
Spike,Critical,8,1,4,0,2,Expert,24.03,4.26,87,0.477,1,29.84,3.69,22.28
Feature,Medium,3,5,1,0,1,Junior,15.7,3.82,12,0.178,12,15.57,2.8,31.9
Feature,Medium,3,5,4,0,1,Senior,12.89,2.5,21,0.047,2,6.7,5.15,25.68
Improvement,Medium,8,4,1,0,2,Junior,23.4,4.2,18,0.481,2,13.83,9.96,64.64
Feature,High,3,1,5,0,0,Junior,18.49,6.36,52,0.365,6,34.3,8.82,28.04
Technical Debt,Medium,8,3,5,1,0,Expert,4.12,2.44,93,0.171,11,16.25,9.05,20.26
Bug,Medium,3,5,3,0,0,Expert,27.28,0.38,38,0.14,9,32.41,8.48,15.37
Improvement,High,1,5,4,0,1,Junior,20.99,6.0,20,0.464,6,24.89,3.45,21.24
Feature,High,3,2,5,1,0,Junior,12.52,2.35,86,0.137,14,26.08,3.04,33.78
Bug,Medium,2,4,5,0,0,Junior,13.04,1.18,15,0.269,10,7.47,7.59,22.55
Bug,Medium,8,3,2,0,0,Junior,19.21,1.36,6,0.107,0,13.54,6.39,30.12
Bug,High,3,5,2,0,0,Senior,33.45,1.88,83,0.498,2,25.9,2.86,28.55
Feature,Low,3,2,1,0,0,Senior,18.08,2.27,77,0.385,0,23.29,9.71,10.92
Improvement,Low,1,1,3,0,0,Senior,33.9,0.37,25,0.284,8,30.33,4.82,3.15
Technical Debt,High,3,5,2,1,0,Junior,18.14,0.03,85,0.373,13,8.14,8.33,79.05
Feature,Low,8,2,3,0,1,Junior,33.54,3.06,99,0.458,13,26.44,1.66,50.11
Feature,High,2,1,5,0,0,Junior,37.4,0.24,89,0.482,6,2.34,1.32,14.02
Feature,Critical,5,4,1,0,3,Senior,2.78,2.22,75,0.393,13,11.19,5.1,11.51
Bug,Medium,13,1,3,0,1,Expert,4.37,0.05,30,0.425,12,22.44,2.07,7.95
Bug,Medium,5,5,2,1,0,Junior,7.09,0.94,67,0.199,4,34.32,9.81,23.82
Bug,High,8,3,5,0,0,Junior,6.64,2.04,39,0.196,6,34.64,8.31,18.55
Feature,High,2,1,4,0,1,Junior,19.27,1.59,26,0.404,2,15.93,5.09,13.97
Feature,Critical,3,3,5,0,0,Junior,31.03,2.96,8,0.38,2,27.0,9.82,41.72
Bug,High,8,3,2,1,3,Junior,38.53,2.5,75,0.45,0,21.42,3.14,67.75
Bug,Low,5,1,2,0,0,Expert,17.88,0.37,92,0.067,4,25.11,7.11,8.06
Spike,High,5,4,4,1,1,Expert,28.16,0.69,91,0.345,6,25.89,1.16,57.36
Feature,Medium,5,1,5,0,4,Junior,26.15,3.81,15,0.324,2,19.61,4.35,31.18
Improvement,Medium,3,2,3,0,1,Junior,16.94,1.17,71,0.399,4,28.67,1.71,17.11
Bug,Low,1,3,3,0,3,Junior,29.4,6.35,12,0.012,9,20.87,4.31,6.75
Bug,Medium,8,5,5,0,3,Junior,24.49,6.06,77,0.413,0,4.42,4.43,85.72
Improvement,High,5,3,3,0,3,Senior,30.88,4.02,59,0.163,13,34.63,4.38,49.52
Improvement,Medium,3,5,5,1,2,Senior,9.36,1.02,78,0.344,6,11.33,4.73,32.28
Spike,Medium,8,2,5,0,0,Senior,15.69,2.72,59,0.308,12,33.78,6.55,35.15
Feature,Medium,3,2,2,0,0,Expert,27.51,1.81,8,0.22,10,10.95,2.7,12.81
Feature,High,3,2,1,0,0,Senior,6.74,1.16,52,0.373,14,30.01,3.11,9.68
Improvement,High,8,1,2,1,4,Junior,31.28,4.21,31,0.481,14,24.45,6.81,71.36
Bug,Medium,8,3,3,0,0,Junior,7.07,1.0,85,0.162,7,13.13,5.2,16.96
Feature,Low,5,5,1,0,0,Junior,14.33,6.36,54,0.374,7,32.89,2.46,43.52
Feature,Medium,2,2,5,0,2,Senior,11.03,5.43,24,0.157,0,20.83,8.09,12.86
Feature,Critical,2,2,3,0,0,Senior,4.32,5.53,40,0.423,3,29.21,9.38,7.67
Technical Debt,High,5,5,4,0,1,Expert,12.28,0.81,25,0.219,8,28.1,5.19,27.17
Feature,Medium,3,3,3,0,3,Expert,36.64,2.86,28,0.225,1,2.58,6.53,14.36
Feature,High,8,3,1,1,1,Expert,3.02,2.03,81,0.386,0,10.14,8.34,10.74
Feature,Medium,13,5,1,0,1,Senior,2.64,0.43,35,0.248,5,17.06,9.67,22.29
Feature,High,8,4,5,0,1,Senior,28.76,9.01,83,0.133,13,32.72,9.72,98.46
Feature,Medium,3,3,4,0,1,Senior,15.94,0.85,96,0.498,12,3.12,9.31,26.9
Bug,Low,8,5,5,0,0,Junior,10.73,1.15,83,0.31,12,7.31,8.34,40.74
Feature,Low,3,5,4,0,0,Junior,21.34,2.35,2,0.323,10,22.23,4.83,34.56
Technical Debt,Medium,2,2,4,0,0,Junior,12.13,3.57,58,0.323,10,23.19,7.03,23.42
Feature,Critical,1,5,5,0,1,Senior,16.9,3.08,33,0.442,0,6.58,7.87,14.82
Bug,Medium,3,1,3,0,1,Expert,29.18,3.58,5,0.092,5,33.24,1.83,8.65
Technical Debt,High,13,2,2,1,0,Junior,6.44,2.66,30,0.03,0,7.01,2.05,30.3
Improvement,High,2,2,4,0,1,Senior,38.47,1.83,98,0.193,14,7.2,7.35,15.64
Bug,Medium,2,3,1,1,0,Senior,3.62,2.18,31,0.282,5,22.61,7.0,8.19
Feature,Low,13,4,5,1,0,Expert,32.65,2.95,41,0.143,14,15.33,8.23,92.22
Feature,Low,1,3,3,0,0,Senior,29.53,2.17,56,0.345,8,1.88,2.66,6.45
Improvement,High,8,1,4,0,2,Expert,12.72,0.94,72,0.037,12,32.3,9.43,11.49
Spike,Medium,3,2,3,0,2,Junior,6.5,0.11,45,0.395,4,3.55,3.15,10.03
Improvement,Medium,1,2,5,0,0,Expert,34.39,2.73,90,0.359,3,6.31,2.22,4.75
Bug,Medium,13,5,1,1,1,Junior,27.83,1.6,87,0.107,7,31.5,3.92,83.47
Improvement,High,2,4,4,1,0,Senior,13.05,1.23,55,0.149,3,10.36,8.28,21.39
Bug,Low,5,4,4,1,2,Junior,2.64,2.4,49,0.404,3,28.8,1.25,9.83
Feature,Medium,3,5,3,0,0,Senior,37.66,0.51,85,0.387,10,6.8,3.04,36.13
